CSU|Statement %|Statement covered|Statement Out of|Branch %|Branch covered|Branch Out of|MCDC %|MCDC covered|MCDC Out of
 Analog| Normalize_In_5V                                        | 100,0%|4|4 |       |||       ||
 Analog| Initialize_In_Analogic                                 | 100,0%|35|35| 100,0%|4|4 |       ||
 Analog| Read_Input_Analogic                                    | 100,0%|23|23| 100,0%|2|2 |       ||
 App_Dev_Gen_Utils| Limit_Integer_Value_To_Range                           | 100,0%|4|4 | 100,0%|2|2 |       ||
 App_Dev_Gen_Utils| Limit_Fixed_Point_Value_To_Range                       | 100,0%|4|4 | 100,0%|2|2 |       ||
 App_Dev_Gen_Utils| Cyclic_Increment                                       | 100,0%|3|3 | 100,0%|1|1 |       ||
 App_Dev_Utils| Assign_Mons                                            | 100,0%|4|4 | 100,0%|1|1 | 100,0%|2|2 
 App_Dev_Utils| Assign_Mons                                            | 100,0%|4|4 | 100,0%|1|1 |       | |
 App_Dev_Utils| Handle_Invalid_Data                                    | 100,0%|3|3 |       | ||       | |
 App_Dev_Utils| Determine_Data_Parity                                  | 100,0%|9|9 | 100,0%|3|3 |       | |
 App_Dev_Utils| Odd                                                    | 100,0%|3|3 | 100,0%|1|1 |       | |
 Apsw| Reset_1553_Transactions_List                           | 100,0%|18|18|       | ||       | |
 Apsw| Retrieve_1553_Not_Bc_Transactions_List                 | 100,0%|5|5 |       | ||       | |
 Apsw| Retrieve_1553_Transactions_Lists                       | 100,0%|13|13| 100,0%|2|2 |       | |
 Apsw| Update_Transactions_Lists                              | 100,0%|5|5 |       | ||       | |
 Apsw| Manage_Statistics                                      | 100,0%|9|9 |       | ||       | |
 Apsw| Initialize                                             | 100,0%|31|31| 100,0%|2|2 |       | |
 Apsw| Retrieve_Frame_Number                                  | 100,0%|35|35| 100,0%|7|7 | 100,0%|2|2 
 Apsw| Process                                                | 100,0%|10|10| 100,0%|1|1 |       | |
 Process_In_Out| Process_Incoming_Msgs                                  | 100,0%|17|17| 100,0%|3|3 | 100,0%|2|2 
 Process_In_Out| Process_Not_Bc_Incoming_Msgs                           | 100,0%|16|16| 100,0%|3|3 | 100,0%|5|5 
 Process_In_Out| Prepare_Outgoing_Msgs                                  | 100,0%|17|17| 100,0%|4|4 | 100,0%|2|2 
 Process_In_Out| Prepare_Not_Bc_Outgoing_Msgs                           | 100,0%|16|16| 100,0%|3|3 | 100,0%|2|2 
 Process_In_Out| Process_1553_Input                                     | 100,0%|6|6 | 100,0%|1|1 |       | |
 Process_In_Out| Prepare_1553_Output                                    | 100,0%|7|7 | 100,0%|1|1 |       | |
 Process_State_Machine| Wait_For_Mc_Initialization                             | 100,0%|14|14| 100,0%|3|3 | 100,0%|4|4 
 Process_State_Machine| Initialize_Normal                                      | 100,0%|6|6 |       | ||       | |
 Process_State_Machine| Perform_Normal_Operations                              | 100,0%|15|15| 100,0%|2|2 |       | |
 Process_State_Machine| Initialize_Backup                                      | 100,0%|34|34| 100,0%|5|5 |       | |
 Process_State_Machine| Perform_Backup_Operations                              | 100,0%|13|13|       | ||       | |
 APSW_INFO| GET_ARRAY_INFO                                         | 100,0%|3|3 |       | ||       | |
 Apsw_Utils| Generate_Crc                                           | 100,0%|1|1 |       | ||       | |
 Apsw_Utils| Manage_Safe_Counter                                    | 100,0%|13|13| 100,0%|3|3 | 100,0%|2|2 
 Apsw_Utils| Manage_Time_To_End                                     | 100,0%|9|9 | 100,0%|1|1 |       | |
 Apsw_Utils| Calculate_Crc16                                        | 100,0%|4|4 |       | ||       | |
 Apsw_Utils| Increment_Frame                                        | 100,0%|4|4 | 100,0%|1|1 |       | |
 Apsw_Utils| Set_Non_Mask_8_Bits_To_Zero                            | 100,0%|1|1 |       | ||       | |
 Apsw_Utils| Set_Non_Mask_16_Bits_To_Zero                           | 100,0%|1|1 |       | ||       | |
 Apsw_Utils| Set_Non_Mask_32_Bits_To_Zero                           | 100,0%|1|1 |       | ||       | |
 Backup_Ops| Receive_Dai_Msg_List                                   | 100,0%|7|7 | 100,0%|2|2 |       | |
 Backup_Ops| Report_Fault                                           | 100,0%|4|4 |       | ||       | |
 Backup_Ops| Transmit_Dai_Msg_List                                  | 100,0%|7|7 | 100,0%|2|2 | 100,0%|3|3 
 Backup_Ops| Send_Ics_Control_Command                               | 100,0%|6|6 | 100,0%|1|1 |       | |
 Bacs_State| Get_Bleed_Overpressure_Class                           | 100,0%|2|2 |       | ||       | |
 Bacs_State| Set_Bleed_Overpressure_Class                           | 100,0%|2|2 |       | ||       | |
 Bacs_State| Get_Bleed_Overheat_Mon                                 | 100,0%|2|2 |       | ||       | |
 Bacs_State| Set_Bleed_Overheat_Mon                                 | 100,0%|2|2 |       | ||       | |
 Bacs_State| Get_Bleed_Fault_Class                                  | 100,0%|2|2 |       | ||       | |
 Bacs_State| Set_Bleed_Fault_Class                                  | 100,0%|2|2 |       | ||       | |
 Bacs_State| Get_Wing_Bleed_Air_Leak_Mon                            | 100,0%|2|2 |       | ||       | |
 Bacs_State| Set_Wing_Bleed_Air_Leak_Mon                            | 100,0%|2|2 |       | ||       | |
 Bacs_State| Get_Fuselage_Bleed_Air_Leak_Mon                        | 100,0%|2|2 |       | ||       | |
 Bacs_State| Set_Fuselage_Bleed_Air_Leak_Mon                        | 100,0%|2|2 |       | ||       | |
 Baut2_Di| Initialize_Backup                                      | 100,0%|9|9 | 100,0%|1|1 |       | |
 Baut2_Di| Prepare_Output_Msg                                     | 100,0%|11|11|       | ||       | |
 Baut2_State| Set_Engine_Oil_Cooler_Flap                             | 100,0%|1|1 |       | ||       | |
 Baut2_State| Set_Impact_Pressure_Q_Feel                             | 100,0%|2|2 |       | ||       | |
 Baut2_State| Set_Tcas_Power_Enable                                  | 100,0%|1|1 |       | ||       | |
 Baut2_State| Set_Iff_1_Power_Enable                                 | 100,0%|1|1 |       | ||       | |
 Baut2_State| Set_ELT_Relay_Operate                                  | 100,0%|1|1 |       | ||       | |
 Baut2_State| Get_Engine_Oil_Cooler_Flap                             | 100,0%|1|1 |       | ||       | |
 Baut2_State| Get_Impact_Pressure_Q_Feel                             | 100,0%|1|1 |       | ||       | |
 Baut2_State| Get_Tcas_Power_Enable                                  | 100,0%|1|1 |       | ||       | |
 Baut2_State| Get_Iff_1_Power_Enable                                 | 100,0%|1|1 |       | ||       | |
 Baut2_State| Get_ELT_Relay_Operate                                  | 100,0%|1|1 |       | ||       | |
 Baut3_Di| Prepare_Output_Msg                                     | 100,0%|13|13|       | ||       | |
 Bit_Mngr| Update_Din_Pbit_Result                                 | 100,0%|20|20| 100,0%|2|2 | 100,0%|2|2 
 Cadc_Ctrl| Compute_Baroset_Pressure                               | 100,0%|4|4 |       | ||       | |
 Cadc_Di| Prepare_Output_Msg                                     | 100,0%|7|7 |       | ||       | |
 Cadc_State| Get_Adc_Failure                                        | 100,0%|1|1 |       | ||       | |
 Cadc_State| Set_Adc_Failure                                        | 100,0%|1|1 |       | ||       | |
 Cadc_State| Get_Airspeed                                           | 100,0%|2|2 |       | ||       | |
 Cadc_State| Set_Airspeed                                           | 100,0%|2|2 |       | ||       | |
 Cadc_State| Get_Air_Temp                                           | 100,0%|2|2 |       | ||       | |
 Cadc_State| Set_Air_Temp                                           | 100,0%|2|2 |       | ||       | |
 Cadc_State| Get_Cadc_1553_Data_Bus_Communication_Status            | 100,0%|2|2 |       | ||       | |
 Cadc_State| Set_Cadc_1553_Data_Bus_Communication_Status            | 100,0%|2|2 |       | ||       | |
 Cadc_State| Get_Corrected_Altitude                                 | 100,0%|2|2 |       | ||       | |
 Cadc_State| Set_Corrected_Altitude                                 | 100,0%|2|2 |       | ||       | |
 Cadc_State| Get_Pressure_Altitude_Rate                             | 100,0%|2|2 |       | ||       | |
 Cadc_State| Set_Pressure_Altitude_Rate                             | 100,0%|2|2 |       | ||       | |
 Cadc_State| Get_Static_Pressure                                    | 100,0%|2|2 |       | ||       | |
 Cadc_State| Set_Static_Pressure                                    | 100,0%|2|2 |       | ||       | |
 Cadc_State| Get_Vmo                                                | 100,0%|11|11| 100,0%|2|2 |       | |
 Cmdu_Blank_Di| Prepare_Control_Data_01_Msg                            | 100,0%|22|22| 100,0%|2|2 |       | |
 Cmdu_Eid_Ctrl| Compute_Generator_Rpm_Class                            | 100,0%|9|9 |       | ||       | |
 Cmdu_Eid_Ctrl| Compute_Horsepower_Class                               | 100,0%|9|9 |       | ||       | |
 Cmdu_Eid_Ctrl| Compute_Ids_Msg_List                                   |  94,7%|18|19|  80,0%|4|5 |  77,8%|7|9 
 Cmdu_Eid_Di| Update_Validities_For_Output                           | 100,0%|7|7 | 100,0%|1|1 |       | |
 Cmdu_Eid_Di| Prepare_Eid_05_To_08_Output_Msg                        | 100,0%|22|22| 100,0%|1|1 | 100,0%|2|2 
 Cmdu_Eid_Di| Prepare_Eid_11_Output_Msg                              | 100,0%|26|26| 100,0%|5|5 |       | |
